version,n,threads,rep,time_s,gflops
v3_openmp,2000,1,1,0.866232,3.0785
v3_openmp,2000,1,2,0.847026,3.1483
v3_openmp,2000,1,3,0.847328,3.1471
v3_openmp,2000,2,1,0.479688,5.5592
v3_openmp,2000,2,2,0.481071,5.5432
v3_openmp,2000,2,3,0.481845,5.5343
v3_openmp,2000,4,1,0.248903,10.7137
v3_openmp,2000,4,2,0.246643,10.8118
v3_openmp,2000,4,3,0.248542,10.7292
v3_openmp,2000,8,1,0.148228,17.9903
v3_openmp,2000,8,2,0.147626,18.0637
v3_openmp,2000,8,3,0.147212,18.1145
v3_openmp,2000,16,1,0.085128,31.3252
v3_openmp,2000,16,2,0.084864,31.4230
v3_openmp,2000,16,3,0.085015,31.3669
v3_openmp,2000,32,1,0.058878,45.2912
v3_openmp,2000,32,2,0.058772,45.3727
v3_openmp,2000,32,3,0.058538,45.5546
v3_openmp,2000,48,1,0.058123,45.8800
v3_openmp,2000,48,2,0.057710,46.2084
v3_openmp,2000,48,3,0.057237,46.5898
v3_openmp,2000,64,1,0.063165,42.2176
v3_openmp,2000,64,2,0.061941,43.0521
v3_openmp,2000,64,3,0.061847,43.1169
v3_openmp,2000,76,1,0.079976,33.3431
v3_openmp,2000,76,2,0.078866,33.8126
v3_openmp,2000,76,3,0.078524,33.9597
v3_openmp,4000,1,1,10.310529,2.0691
v3_openmp,4000,1,2,10.210912,2.0893
v3_openmp,4000,1,3,10.285536,2.0741
v3_openmp,4000,2,1,4.182785,5.1003
v3_openmp,4000,2,2,4.158898,5.1296
v3_openmp,4000,2,3,4.156784,5.1322
v3_openmp,4000,4,1,2.130387,10.0138
v3_openmp,4000,4,2,2.129668,10.0172
v3_openmp,4000,4,3,2.128866,10.0210
v3_openmp,4000,8,1,1.240199,17.2015
v3_openmp,4000,8,2,1.236452,17.2537
v3_openmp,4000,8,3,1.237690,17.2364
v3_openmp,4000,16,1,0.756392,28.2041
v3_openmp,4000,16,2,0.756124,28.2141
v3_openmp,4000,16,3,0.757725,28.1545
v3_openmp,4000,32,1,0.449026,47.5103
v3_openmp,4000,32,2,0.447899,47.6297
v3_openmp,4000,32,3,0.448334,47.5835
v3_openmp,4000,48,1,0.352516,60.5174
v3_openmp,4000,48,2,0.358827,59.4529
v3_openmp,4000,48,3,0.355734,59.9699
v3_openmp,4000,64,1,0.326096,65.4203
v3_openmp,4000,64,2,0.325975,65.4446
v3_openmp,4000,64,3,0.322727,66.1034
v3_openmp,4000,76,1,0.324574,65.7271
v3_openmp,4000,76,2,0.328504,64.9408
v3_openmp,4000,76,3,0.320711,66.5190
v3_openmp,6000,1,1,42.728978,1.6850
v3_openmp,6000,1,2,42.606670,1.6899
v3_openmp,6000,1,3,42.615016,1.6895
v5_blocked_NB96,2000,1,1,0.891838,2.9901
v5_blocked_NB96,2000,1,2,0.891408,2.9915
v5_blocked_NB96,2000,1,3,0.891343,2.9917
v5_blocked_NB96,2000,2,1,0.467208,5.7077
v5_blocked_NB96,2000,2,2,0.467594,5.7029
v5_blocked_NB96,2000,2,3,0.466831,5.7123
v5_blocked_NB96,2000,4,1,0.237578,11.2244
v5_blocked_NB96,2000,4,2,0.237365,11.2345
v5_blocked_NB96,2000,4,3,0.237378,11.2338
v5_blocked_NB96,2000,8,1,0.122134,21.8339
v5_blocked_NB96,2000,8,2,0.121788,21.8959
v5_blocked_NB96,2000,8,3,0.121991,21.8596
v5_blocked_NB96,2000,16,1,0.064229,41.5184
v5_blocked_NB96,2000,16,2,0.063950,41.6990
v5_blocked_NB96,2000,16,3,0.064060,41.6278
v5_blocked_NB96,2000,32,1,0.036275,73.5132
v5_blocked_NB96,2000,32,2,0.035263,75.6225
v5_blocked_NB96,2000,32,3,0.035232,75.6885
v5_blocked_NB96,2000,48,1,0.027225,97.9498
v5_blocked_NB96,2000,48,2,0.026405,100.9926
v5_blocked_NB96,2000,48,3,0.026418,100.9410
v5_blocked_NB96,2000,64,1,0.023780,112.1387
v5_blocked_NB96,2000,64,2,0.022392,119.0923
v5_blocked_NB96,2000,64,3,0.022382,119.1436
v5_blocked_NB96,2000,76,1,0.022345,119.3383
v5_blocked_NB96,2000,76,2,0.020973,127.1447
v5_blocked_NB96,2000,76,3,0.020912,127.5165
v5_blocked_NB96,4000,1,1,8.176015,2.6093
v5_blocked_NB96,4000,1,2,8.175315,2.6095
v5_blocked_NB96,4000,1,3,8.176181,2.6092
v5_blocked_NB96,4000,2,1,4.152882,5.1370
v5_blocked_NB96,4000,2,2,4.153796,5.1359
v5_blocked_NB96,4000,2,3,4.156903,5.1320
v5_blocked_NB96,4000,4,1,2.067056,10.3206
v5_blocked_NB96,4000,4,2,2.065739,10.3272
v5_blocked_NB96,4000,4,3,2.065237,10.3297
v5_blocked_NB96,4000,8,1,1.046466,20.3861
v5_blocked_NB96,4000,8,2,1.046386,20.3876
v5_blocked_NB96,4000,8,3,1.045447,20.4059
v5_blocked_NB96,4000,16,1,0.531157,40.1639
v5_blocked_NB96,4000,16,2,0.530688,40.1994
v5_blocked_NB96,4000,16,3,0.530603,40.2059
v5_blocked_NB96,4000,32,1,0.275773,77.3584
v5_blocked_NB96,4000,32,2,0.275204,77.5181
v5_blocked_NB96,4000,32,3,0.275269,77.5000
v5_blocked_NB96,4000,48,1,0.194021,109.9539
v5_blocked_NB96,4000,48,2,0.193161,110.4433
v5_blocked_NB96,4000,48,3,0.193031,110.5174
v5_blocked_NB96,4000,64,1,0.157470,135.4756
v5_blocked_NB96,4000,64,2,0.157042,135.8449
v5_blocked_NB96,4000,64,3,0.159502,133.7500
v5_blocked_NB96,4000,76,1,0.149345,142.8462
v5_blocked_NB96,4000,76,2,0.147152,144.9752
v5_blocked_NB96,4000,76,3,0.145081,147.0444
v5_blocked_NB96,6000,1,1,28.524298,2.5242
v5_blocked_NB96,6000,1,2,28.525725,2.5240
v5_blocked_NB96,6000,1,3,28.524423,2.5242
v5_blocked_NB96,6000,2,1,14.347809,5.0182
v5_blocked_NB96,6000,2,2,14.348771,5.0179
v5_blocked_NB96,6000,2,3,14.342359,5.0201
v5_blocked_NB96,6000,4,1,7.105587,10.1329
v5_blocked_NB96,6000,4,2,7.108477,10.1288
v5_blocked_NB96,6000,4,3,7.107096,10.1307
v5_blocked_NB96,6000,8,1,3.596368,20.0202
v5_blocked_NB96,6000,8,2,3.591269,20.0486
v5_blocked_NB96,6000,8,3,3.592385,20.0424
v5_blocked_NB96,6000,16,1,1.810994,39.7572
